 Table 4. Sale prices statistics by NSW Postcode,,,,,,,,,,
Reporting period: July - September 2023,,,,,,,,,,
(s): 30 or fewer properties sold; (-): 10 or fewer properties sold,,,,,,,,,,
Read explanatory notes,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Postcode,Dwelling Type,"First Quartile Sales Price
$'000s","Median Sales Price
$'000s","Third Quartile Sales Price
'000s","Mean Sales Price
$'000s","Sales
No.",Qtly change in Median,Annual change in Median,Qtly change in Count,Annual change in Count
2090,Non Strata,-,-,-,-,-,-,-,-,-
2090,Strata,1100,1400,1887,1511,73,4.67%,-13.04%,1.39%,35.19%
2092,Total,2183,2885,3730,3107,s,-3.83%,-17.57%,9.52%,21.05%
2092,Non Strata,2485,3261,3975,3337,s,-11.92%,-7.23%,18.75%,11.76%
2092,Strata,-,-,-,-,-,-,-,-,-
2093,Total,933,1740,3168,2193,102,-33.84%,-19.63%,7.37%,32.47%
2093,Non Strata,2645,3323,3961,3465,48,-7.06%,6.32%,-11.11%,17.07%
2093,Strata,862,943,1244,1062,54,-14.32%,-7.14%,31.71%,50.00%
2094,Total,1650,2300,2850,2391,s,21.05%,39.39%,7.41%,26.09%
2094,Non Strata,2725,3220,4175,3458,s,-12.50%,-3.88%,57.14%,266.67%
2094,Strata,1446,1750,2245,1739,s,25.00%,12.36%,-10.00%,-10.00%
2095,Total,1148,1513,2363,1964,84,-26.58%,-27.98%,20.00%,18.31%
2095,Non Strata,-,-,-,-,-,-,-,-,-
2095,Strata,1100,1425,1913,1609,75,-25.00%,-21.92%,27.12%,17.19%
2096,Total,925,1385,2974,2022,68,-8.00%,14.70%,6.25%,6.25%
2096,Non Strata,3325,4063,4398,4036,s,1.82%,25.39%,0.00%,28.57%
2096,Strata,911,1133,1489,1297,50,-11.35%,2.58%,8.70%,0.00%
2097,Total,1087,2365,3063,2193,52,8.36%,22.67%,6.12%,13.04%
2097,Non Strata,2465,2973,3323,2968,31,13.45%,38.28%,3.33%,24.00%
2097,Strata,840,960,1165,1049,s,-15.87%,-3.03%,10.53%,0.00%
2099,Total,866,1112,1788,1407,174,12.54%,9.01%,6.10%,12.99%
2099,Non Strata,1990,2305,2775,2439,47,-7.57%,0.22%,23.68%,14.63%
2099,Strata,819,925,1230,1025,127,4.99%,7.93%,0.79%,12.39%
2100,Total,1141,2078,2395,1908,74,3.10%,9.34%,13.85%,17.46%
2100,Non Strata,2110,2345,2850,2474,45,-4.67%,10.87%,21.62%,7.14%
2100,Strata,730,1050,1218,1028,s,4.48%,1.45%,3.57%,38.10%
2101,Total,1200,1650,2357,1912,57,16.20%,7.49%,-21.92%,0.00%
2101,Non Strata,2038,2339,2863,2655,s,-0.91%,5.34%,-11.11%,-11.11%
2101,Strata,1005,1259,1500,1371,33,17.15%,8.80%,-28.26%,10.00%
2102,Total,1291,1720,2238,1782,s,-13.39%,13.53%,3.45%,15.38%
2102,Non Strata,2130,2250,2368,2244,s,2.27%,2.27%,-11.76%,15.38%
