 Table 4. Sale prices statistics by NSW Postcode,,,,,,,,,,
Reporting period: July - September 2023,,,,,,,,,,
(s): 30 or fewer properties sold; (-): 10 or fewer properties sold,,,,,,,,,,
Read explanatory notes,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Postcode,Dwelling Type,"First Quartile Sales Price
$'000s","Median Sales Price
$'000s","Third Quartile Sales Price
'000s","Mean Sales Price
$'000s","Sales
No.",Qtly change in Median,Annual change in Median,Qtly change in Count,Annual change in Count
2576,Strata,873,970,1225,1063,s,7.78%,-9.77%,-26.67%,57.14%
2577,Total,859,1108,1648,1370,78,-3.70%,-7.71%,13.04%,13.04%
2577,Non Strata,850,1115,1650,1374,77,-3.88%,-12.55%,13.24%,24.19%
2577,Strata,-,-,-,-,-,-,-,-,-
2578,Total,958,1135,1388,1303,s,26.11%,-5.42%,-26.67%,0.00%
2578,Non Strata,958,1135,1388,1303,s,26.11%,-5.42%,-26.67%,0.00%
2579,Total,923,1100,1330,1185,s,-3.72%,5.01%,-5.00%,5.56%
2579,Non Strata,923,1100,1330,1185,s,-3.72%,5.01%,-5.00%,5.56%
2580,Total,540,630,775,693,137,0.80%,1.20%,-3.52%,-6.16%
2580,Non Strata,546,655,798,708,123,0.77%,4.80%,-4.65%,-8.89%
2580,Strata,400,549,578,567,s,23.26%,-2.92%,7.69%,27.27%
2581,Total,-,-,-,-,-,-,-,-,-
2581,Non Strata,-,-,-,-,-,-,-,-,-
2582,Total,673,960,1190,988,43,27.49%,12.61%,-2.27%,13.16%
2582,Non Strata,673,960,1190,988,43,27.49%,12.61%,-2.27%,13.16%
2583,Total,424,510,646,655,s,-1.92%,-10.92%,22.22%,37.50%
2583,Non Strata,424,510,646,655,s,-1.92%,-10.92%,22.22%,37.50%
2586,Total,-,-,-,-,-,-,-,-,-
2586,Non Strata,-,-,-,-,-,-,-,-,-
2587,Total,-,-,-,-,-,-,-,-,-
2587,Non Strata,-,-,-,-,-,-,-,-,-
2590,Total,373,406,484,432,34,0.25%,8.99%,36.00%,-5.56%
2590,Non Strata,373,406,484,432,34,0.25%,8.99%,36.00%,-5.56%
2594,Total,354,465,550,479,48,-7.00%,0.65%,20.00%,-35.14%
2594,Non Strata,365,470,550,482,47,-10.31%,10.59%,30.56%,-17.54%
2594,Strata,-,-,-,-,-,-,-,-,-
2619,Total,885,991,1248,1098,s,3.23%,-4.25%,-28.95%,-10.00%
2619,Non Strata,938,1050,1310,1151,s,5.00%,-11.58%,-25.81%,4.55%
2619,Strata,-,-,-,-,-,-,-,-,-
2620,Total,499,665,858,702,190,-7.32%,-0.37%,0.53%,2.15%
2620,Non Strata,713,801,959,842,120,-3.57%,-11.06%,0.00%,11.11%
2620,Strata,357,489,584,463,70,1.82%,21.43%,1.45%,-10.26%
2621,Total,1026,1053,1154,1088,s,-1.41%,-4.32%,-23.08%,-13.04%
2621,Non Strata,1026,1053,1154,1088,s,-1.41%,-4.32%,-23.08%,-13.04%
2622,Total,556,668,858,640,s,-18.10%,-4.64%,50.00%,20.00%
2622,Non Strata,556,668,858,640,s,-18.10%,-4.64%,50.00%,20.00%
2623,Total,-,-,-,-,-,-,-,-,-
2623,Non Strata,-,-,-,-,-,-,-,-,-
2627,Total,770,1080,1350,1110,s,17.39%,-8.09%,-6.45%,-14.71%
2627,Non Strata,1058,1260,1508,1331,s,-11.27%,-26.59%,-6.67%,-12.50%
2627,Strata,528,895,1238,904,s,6.87%,13.15%,-6.25%,-16.67%
2628,Total,-,-,-,-,-,-,-,-,-
2628,Non Strata,-,-,-,-,-,-,-,-,-
2629,Total,-,-,-,-,-,-,-,-,-
2629,Non Strata,-,-,-,-,-,-,-,-,-
2630,Total,395,483,619,524,40,-16.45%,-12.87%,-13.04%,-9.09%
2630,Non Strata,395,483,619,524,40,-16.45%,-12.87%,-13.04%,-9.09%
2631,Total,-,-,-,-,-,-,-,-,-
2631,Non Strata,-,-,-,-,-,-,-,-,-
2632,Total,-,-,-,-,-,-,-,-,-
2632,Non Strata,-,-,-,-,-,-,-,-,-
2633,Total,-,-,-,-,-,-,-,-,-
2633,Non Strata,-,-,-,-,-,-,-,-,-
2640,Total,428,568,694,588,152,-0.35%,11.37%,-13.14%,-8.98%
2640,Non Strata,478,600,720,635,124,-0.83%,5.82%,-14.48%,-9.49%
2640,Strata,274,361,419,381,s,6.25%,15.97%,-6.67%,-6.67%
2641,Total,343,452,545,472,70,3.91%,5.85%,0.00%,-23.08%
2641,Non Strata,447,490,640,539,51,7.69%,4.26%,0.00%,-30.14%
2641,Strata,270,297,321,292,s,-9.31%,19.52%,0.00%,5.56%
2642,Total,-,-,-,-,-,-,-,-,-
2642,Non Strata,-,-,-,-,-,-,-,-,-
2643,Total,437,500,555,504,s,16.28%,8.70%,18.75%,72.73%
2643,Non Strata,465,500,560,520,s,8.11%,8.70%,21.43%,54.55%
2643,Strata,-,-,-,-,-,-,-,-,-
2644,Total,-,-,-,-,-,-,-,-,-
2644,Non Strata,-,-,-,-,-,-,-,-,-
2645,Total,-,-,-,-,-,-,-,-,-
2645,Non Strata,-,-,-,-,-,-,-,-,-
2646,Total,283,400,467,388,34,-3.03%,2.56%,70.00%,3.03%
2646,Non Strata,290,425,491,404,s,2.41%,6.25%,62.50%,-16.13%
2646,Strata,-,-,-,-,-,-,-,-,-
2647,Total,538,700,863,726,s,16.20%,18.85%,0.00%,100.00%
2647,Non Strata,-,-,-,-,-,-,-,-,-
2647,Strata,-,-,-,-,-,-,-,-,-
2648,Total,182,235,320,277,s,-17.25%,-19.52%,-21.43%,22.22%
2648,Non Strata,182,235,320,277,s,-17.25%,-19.52%,-21.43%,22.22%
2650,Total,443,561,720,595,235,2.00%,10.00%,-11.32%,-18.40%
2650,Non Strata,476,600,736,618,215,7.87%,14.29%,-5.70%,-14.68%
2650,Strata,300,346,366,341,s,-14.57%,1.02%,-45.95%,-44.44%
2651,Total,-,-,-,-,-,-,-,-,-
2651,Non Strata,-,-,-,-,-,-,-,-,-
2652,Total,225,335,488,367,s,-16.39%,-2.90%,-40.91%,0.00%
2652,Non Strata,225,335,488,367,s,-16.39%,-2.90%,-40.91%,0.00%
2653,Total,-,-,-,-,-,-,-,-,-
2653,Non Strata,-,-,-,-,-,-,-,-,-
2655,Total,-,-,-,-,-,-,-,-,-
2655,Non Strata,-,-,-,-,-,-,-,-,-
2656,Total,-,-,-,-,-,-,-,-,-
2656,Non Strata,-,-,-,-,-,-,-,-,-
2658,Total,-,-,-,-,-,-,-,-,-
2658,Non Strata,-,-,-,-,-,-,-,-,-
2659,Total,-,-,-,-,-,-,-,-,-
2659,Non Strata,-,-,-,-,-,-,-,-,-
2660,Total,-,-,-,-,-,-,-,-,-
2660,Non Strata,-,-,-,-,-,-,-,-,-
2663,Total,313,395,495,434,s,0.64%,-0.63%,-25.00%,0.00%
2663,Non Strata,313,395,495,434,s,0.64%,-0.63%,-25.00%,0.00%
2665,Total,-,-,-,-,-,-,-,-,-
2665,Non Strata,-,-,-,-,-,-,-,-,-
2666,Total,330,376,505,425,s,-12.16%,-6.13%,20.00%,60.00%
2666,Non Strata,330,376,505,425,s,-12.16%,-6.13%,20.00%,60.00%
2669,Total,49,133,166,121,s,1.92%,120.83%,140.00%,300.00%
2669,Non Strata,49,133,166,121,s,1.92%,120.83%,140.00%,300.00%
2671,Total,253,330,388,326,s,-10.81%,33.33%,50.00%,7.14%
2671,Non Strata,253,330,388,326,s,-10.81%,33.33%,50.00%,7.14%
2672,Total,-,-,-,-,-,-,-,-,-
2672,Non Strata,-,-,-,-,-,-,-,-,-
2680,Total,443,536,676,564,80,3.08%,4.08%,0.00%,31.15%
2680,Non Strata,452,551,680,580,74,1.06%,5.91%,2.78%,27.59%
2680,Strata,-,-,-,-,-,-,-,-,-
2681,Total,-,-,-,-,-,-,-,-,-
2681,Non Strata,-,-,-,-,-,-,-,-,-
2700,Total,235,330,500,416,s,-7.04%,18.92%,-13.79%,-30.56%
2700,Non Strata,198,270,355,279,s,-23.94%,-2.70%,-34.48%,-47.22%
2700,Strata,-,-,-,-,-,-,-,-,-
2701,Total,418,450,618,513,s,-3.23%,7.46%,87.50%,87.50%
2701,Non Strata,418,450,618,513,s,-3.23%,7.46%,87.50%,87.50%
2702,Total,-,-,-,-,-,-,-,-,-
2702,Non Strata,-,-,-,-,-,-,-,-,-
2705,Total,330,400,500,435,33,3.90%,3.90%,0.00%,-15.38%
2705,Non Strata,335,421,513,443,31,7.95%,7.26%,3.33%,-13.89%
2705,Strata,-,-,-,-,-,-,-,-,-
2706,Total,-,-,-,-,-,-,-,-,-
2706,Non Strata,-,-,-,-,-,-,-,-,-
2707,Total,-,-,-,-,-,-,-,-,-
2707,Non Strata,-,-,-,-,-,-,-,-,-
2710,Total,273,330,395,339,43,-5.71%,-5.71%,-15.69%,-27.12%
2710,Non Strata,275,340,400,343,41,-5.56%,-2.16%,-16.33%,-18.00%
2710,Strata,-,-,-,-,-,-,-,-,-
2711,Total,-,-,-,-,-,-,-,-,-
2711,Non Strata,-,-,-,-,-,-,-,-,-
2713,Total,305,337,353,321,s,12.54%,3.54%,-36.84%,9.09%
2713,Non Strata,305,337,353,321,s,12.54%,3.54%,-36.84%,9.09%
2714,Total,430,519,733,579,s,-10.60%,-0.29%,71.43%,71.43%
2714,Non Strata,446,557,765,605,s,-3.97%,7.12%,57.14%,57.14%
2714,Strata,-,-,-,-,-,-,-,-,-
2716,Total,-,-,-,-,-,-,-,-,-
2716,Non Strata,-,-,-,-,-,-,-,-,-
2717,Total,-,-,-,-,-,-,-,-,-
2717,Non Strata,-,-,-,-,-,-,-,-,-
2720,Total,380,464,559,486,s,-0.22%,5.45%,0.00%,-19.35%
2720,Non Strata,384,479,563,492,s,3.01%,5.27%,-4.00%,-20.00%
2720,Strata,-,-,-,-,-,-,-,-,-
2722,Total,355,435,455,402,s,3.57%,17.09%,22.22%,10.00%
2722,Non Strata,355,435,455,402,s,3.57%,17.09%,22.22%,10.00%
2729,Total,-,-,-,-,-,-,-,-,-
2729,Non Strata,-,-,-,-,-,-,-,-,-
2730,Total,-,-,-,-,-,-,-,-,-
2730,Non Strata,-,-,-,-,-,-,-,-,-
2731,Total,320,540,590,503,s,-6.90%,-2.26%,-44.12%,-54.76%
2731,Non Strata,540,578,639,616,s,-19.79%,-2.94%,-52.00%,-64.71%
2731,Strata,-,-,-,-,-,-,-,-,-
2732,Total,390,465,590,478,s,12.05%,-22.18%,150.00%,150.00%
2732,Non Strata,430,498,640,536,s,19.88%,-16.74%,100.00%,100.00%
2732,Strata,-,-,-,-,-,-,-,-,-
2738,Total,-,-,-,-,-,-,-,-,-
2738,Non Strata,-,-,-,-,-,-,-,-,-
2739,Total,-,-,-,-,-,-,-,-,-
2739,Non Strata,-,-,-,-,-,-,-,-,-
2745,Total,915,1058,1346,1191,90,4.81%,2.92%,18.42%,-16.67%
2745,Non Strata,943,1068,1376,1213,86,2.64%,-2.95%,28.36%,-10.42%
2745,Strata,-,-,-,-,-,-,-,-,-
2747,Total,658,830,930,814,223,-0.54%,3.75%,22.53%,25.99%
2747,Non Strata,825,883,984,935,154,-0.31%,3.64%,16.67%,22.22%
2747,Strata,460,585,647,545,69,7.34%,2.09%,38.00%,35.29%
2748,Total,-,-,-,-,-,-,-,-,-
2748,Non Strata,-,-,-,-,-,-,-,-,-
2749,Total,817,881,968,899,51,3.65%,5.26%,6.25%,-10.53%
2749,Non Strata,833,900,973,923,47,4.05%,7.02%,14.63%,-12.96%
2749,Strata,-,-,-,-,-,-,-,-,-
2750,Total,531,748,921,749,244,10.17%,3.82%,17.31%,3.83%
2750,Non Strata,836,905,1031,947,127,1.69%,3.43%,22.12%,20.95%
2750,Strata,440,525,640,534,117,-4.55%,-2.96%,12.50%,-10.00%
2752,Total,801,1017,1159,1040,s,-6.90%,-9.80%,5.00%,-25.00%
2752,Non Strata,801,1017,1159,1040,s,-6.90%,-9.80%,5.00%,-25.00%
2753,Total,754,855,1355,1105,63,2.70%,-5.39%,31.25%,16.67%
2753,Non Strata,800,950,1800,1245,49,1.60%,-14.80%,36.11%,8.89%
2753,Strata,521,630,738,616,s,8.43%,8.62%,16.67%,55.56%
2754,Total,740,800,1140,973,s,-1.84%,-10.61%,12.50%,22.73%
2754,Non Strata,856,1078,1511,1167,s,15.24%,11.95%,-15.79%,-11.11%
2754,Strata,646,715,755,690,s,1.42%,13.49%,120.00%,175.00%
2756,Total,760,888,1100,1003,110,-2.47%,-3.27%,-0.90%,-3.51%
2756,Non Strata,796,929,1120,1050,98,-2.24%,-4.74%,-3.92%,-8.41%
2756,Strata,545,610,695,618,s,-6.15%,-11.59%,33.33%,71.43%
2758,Total,954,1408,1728,1410,34,10.39%,-17.21%,17.24%,36.00%
2758,Non Strata,954,1408,1728,1410,34,10.39%,-17.21%,17.24%,36.00%
2759,Total,893,940,1000,958,55,0.00%,6.33%,3.77%,-16.67%
2759,Non Strata,896,943,1000,962,54,-1.21%,6.26%,17.39%,-10.00%
2759,Strata,-,-,-,-,-,-,-,-,-
2760,Total,636,735,859,729,170,0.47%,2.80%,-1.73%,22.30%
2760,Non Strata,795,855,882,856,93,3.01%,7.55%,3.33%,9.41%
2760,Strata,465,620,672,575,77,-8.82%,-0.80%,-7.23%,42.59%
2761,Total,801,869,962,903,71,-0.74%,2.78%,-1.39%,-5.33%
2761,Non Strata,811,875,968,912,66,-0.80%,2.94%,-4.35%,-9.59%
2761,Strata,-,-,-,-,-,-,-,-,-
2762,Total,610,980,1255,974,125,-3.92%,32.25%,-29.38%,0.00%
2762,Non Strata,1193,1255,1400,1280,63,-1.18%,10.09%,-32.26%,31.25%
2762,Strata,550,610,746,663,62,-3.94%,1.67%,-26.19%,-19.48%
2763,Total,880,1100,1313,1092,111,6.80%,18.28%,-6.72%,19.35%
2763,Non Strata,1063,1155,1346,1194,83,4.24%,14.93%,1.22%,20.29%
2763,Strata,754,791,848,791,s,-8.53%,0.80%,-24.32%,16.67%
2765,Total,850,1045,1270,1093,277,-4.13%,-9.21%,2.21%,73.12%
2765,Non Strata,975,1140,1310,1149,226,1.82%,-5.00%,-4.64%,53.74%
2765,Strata,820,840,867,846,51,-3.45%,-4.55%,50.00%,292.31%
2766,Total,775,838,903,856,60,6.01%,14.73%,81.82%,87.50%
2766,Non Strata,839,880,959,929,40,-1.68%,11.39%,122.22%,110.53%
2766,Strata,674,745,781,711,s,4.20%,17.32%,33.33%,53.85%
2767,Total,850,937,1120,983,54,-10.81%,8.90%,14.89%,38.46%
2767,Non Strata,858,939,1125,992,52,-10.78%,7.62%,23.81%,44.44%
2767,Strata,-,-,-,-,-,-,-,-,-
2768,Total,1304,1533,1696,1465,80,3.55%,20.20%,6.67%,9.59%
2768,Non Strata,1364,1548,1702,1520,74,3.24%,17.90%,4.23%,12.12%
2768,Strata,-,-,-,-,-,-,-,-,-
2769,Total,1376,1581,1768,1568,55,10.56%,9.03%,-39.56%,1.85%
2769,Non Strata,1380,1586,1769,1582,54,10.87%,9.34%,-39.33%,0.00%
2769,Strata,-,-,-,-,-,-,-,-,-
2770,Total,581,680,781,672,208,4.62%,6.25%,19.54%,51.82%
2770,Non Strata,677,735,843,776,136,6.52%,7.30%,10.57%,38.78%
2770,Strata,365,433,590,476,72,0.58%,-12.63%,41.18%,84.62%
2773,Total,1078,1286,1701,1362,s,-10.10%,2.85%,45.45%,-30.43%
2773,Non Strata,1078,1286,1701,1362,s,-10.10%,2.85%,45.45%,-30.43%
2774,Total,845,902,1125,974,39,-7.72%,-0.33%,39.29%,11.43%
2774,Non Strata,845,902,1125,974,39,-9.80%,-2.49%,44.44%,18.18%
2775,Total,424,598,728,623,s,-27.13%,57.24%,45.45%,128.57%
2775,Non Strata,424,598,728,623,s,-27.13%,57.24%,45.45%,128.57%
2776,Total,955,1100,1240,1109,s,40.13%,-7.56%,-26.67%,57.14%
2776,Non Strata,955,1100,1240,1109,s,40.13%,-7.56%,-26.67%,57.14%
2777,Total,805,900,1063,959,75,5.26%,5.88%,10.29%,5.63%
2777,Non Strata,814,903,1070,968,72,4.94%,2.56%,7.46%,10.77%
2777,Strata,-,-,-,-,-,-,-,-,-
2778,Total,-,-,-,-,-,-,-,-,-
2778,Non Strata,-,-,-,-,-,-,-,-,-
2779,Total,780,830,933,838,s,-1.43%,-4.41%,15.38%,-16.67%
2779,Non Strata,780,830,933,838,s,-1.43%,-4.41%,15.38%,-16.67%
2780,Total,738,846,958,904,66,8.49%,-4.92%,-12.00%,1.54%
2780,Non Strata,746,846,960,916,62,6.61%,-8.02%,-6.06%,1.64%
2780,Strata,-,-,-,-,-,-,-,-,-
2782,Total,809,988,1218,1059,s,10.80%,-14.87%,20.00%,-11.11%
2782,Non Strata,809,988,1218,1059,s,10.80%,-15.42%,20.00%,-7.69%
2783,Total,736,843,871,803,s,17.42%,-2.03%,100.00%,33.33%
2783,Non Strata,736,843,871,803,s,17.42%,-2.03%,100.00%,33.33%
2784,Total,-,-,-,-,-,-,-,-,-
2784,Non Strata,-,-,-,-,-,-,-,-,-
2785,Total,726,765,860,836,s,-3.77%,-11.30%,-37.93%,-50.00%
2785,Non Strata,726,765,860,836,s,-3.77%,-11.30%,-37.93%,-50.00%
2786,Total,650,740,780,747,s,2.78%,3.14%,-13.33%,116.67%
2786,Non Strata,650,740,780,747,s,2.78%,3.14%,-13.33%,116.67%
2787,Total,375,445,535,476,s,-11.00%,-5.32%,-29.41%,-25.00%
2787,Non Strata,375,445,535,476,s,-11.00%,-5.32%,-29.41%,-25.00%
2790,Total,410,485,564,528,68,-3.00%,-3.96%,-5.56%,0.00%
2790,Non Strata,413,485,568,530,67,-3.00%,-2.51%,-6.94%,1.52%
2790,Strata,-,-,-,-,-,-,-,-,-
2794,Total,320,399,518,438,48,-16.98%,-2.80%,9.09%,14.29%
2794,Non Strata,323,400,520,443,47,-16.67%,-2.44%,6.82%,11.90%
2794,Strata,-,-,-,-,-,-,-,-,-
2795,Total,504,648,781,658,192,3.19%,-0.38%,6.67%,0.52%
2795,Non Strata,541,664,798,681,174,2.08%,-0.97%,7.41%,4.82%
2795,Strata,416,443,475,439,s,26.61%,4.86%,0.00%,-28.00%
2798,Total,-,-,-,-,-,-,-,-,-
2798,Non Strata,-,-,-,-,-,-,-,-,-
2799,Total,-,-,-,-,-,-,-,-,-
2799,Non Strata,-,-,-,-,-,-,-,-,-
2800,Total,569,678,825,749,176,-0.37%,-0.37%,0.57%,4.14%
2800,Non Strata,600,714,832,776,161,2.00%,0.28%,0.63%,6.62%
2800,Strata,404,446,542,454,s,-10.80%,2.53%,0.00%,-16.67%
2804,Total,-,-,-,-,-,-,-,-,-
2804,Non Strata,-,-,-,-,-,-,-,-,-
2806,Total,-,-,-,-,-,-,-,-,-
2806,Non Strata,-,-,-,-,-,-,-,-,-
2807,Total,-,-,-,-,-,-,-,-,-
2807,Non Strata,-,-,-,-,-,-,-,-,-
2810,Total,-,-,-,-,-,-,-,-,-
2810,Non Strata,-,-,-,-,-,-,-,-,-
2820,Total,236,350,416,344,s,26.81%,11.11%,15.38%,-14.29%
2820,Non Strata,236,350,416,344,s,26.81%,11.11%,15.38%,-14.29%
2821,Total,279,398,430,366,s,3.92%,21.10%,-17.65%,-22.22%
2821,Non Strata,279,398,430,366,s,3.92%,21.10%,-17.65%,-22.22%
2823,Total,-,-,-,-,-,-,-,-,-
2823,Non Strata,-,-,-,-,-,-,-,-,-
2824,Total,-,-,-,-,-,-,-,-,-
2824,Non Strata,-,-,-,-,-,-,-,-,-
2825,Total,-,-,-,-,-,-,-,-,-
2825,Non Strata,-,-,-,-,-,-,-,-,-
2827,Total,211,250,311,291,s,-13.79%,35.14%,0.00%,-12.50%
2827,Non Strata,211,250,311,291,s,-13.79%,35.14%,0.00%,-12.50%
2829,Total,-,-,-,-,-,-,-,-,-
2829,Non Strata,-,-,-,-,-,-,-,-,-
2830,Total,440,521,660,565,159,0.19%,5.79%,6.71%,-13.59%
2830,Non Strata,450,540,666,573,153,1.65%,8.00%,12.50%,-12.07%
2830,Strata,-,-,-,-,-,-,-,-,-
2831,Total,-,-,-,-,-,-,-,-,-
2831,Non Strata,-,-,-,-,-,-,-,-,-
2832,Total,-,-,-,-,-,-,-,-,-
2832,Non Strata,-,-,-,-,-,-,-,-,-
2833,Total,-,-,-,-,-,-,-,-,-
2833,Non Strata,-,-,-,-,-,-,-,-,-
2834,Total,-,-,-,-,-,-,-,-,-
2834,Non Strata,-,-,-,-,-,-,-,-,-
2835,Total,166,180,219,192,s,-6.01%,-5.26%,43.75%,35.29%
2835,Non Strata,166,180,219,192,s,-6.01%,-5.26%,43.75%,35.29%
2836,Total,-,-,-,-,-,-,-,-,-
2836,Non Strata,-,-,-,-,-,-,-,-,-
2839,Total,-,-,-,-,-,-,-,-,-
2839,Non Strata,-,-,-,-,-,-,-,-,-
2840,Total,-,-,-,-,-,-,-,-,-
2840,Non Strata,-,-,-,-,-,-,-,-,-
2844,Total,-,-,-,-,-,-,-,-,-
2844,Non Strata,-,-,-,-,-,-,-,-,-
2845,Total,-,-,-,-,-,-,-,-,-
2845,Non Strata,-,-,-,-,-,-,-,-,-
2847,Total,-,-,-,-,-,-,-,-,-
2847,Non Strata,-,-,-,-,-,-,-,-,-
2848,Total,305,335,350,317,s,57.65%,-17.28%,83.33%,57.14%
2848,Non Strata,305,335,350,317,s,57.65%,-17.28%,83.33%,57.14%
2849,Total,-,-,-,-,-,-,-,-,-
2849,Non Strata,-,-,-,-,-,-,-,-,-
2850,Total,584,680,835,722,77,3.03%,-4.36%,6.94%,-14.44%
2850,Non Strata,596,693,840,743,70,1.39%,-2.60%,12.90%,-22.22%
2850,Strata,-,-,-,-,-,-,-,-,-
2852,Total,547,689,742,682,s,10.24%,-2.27%,9.09%,-33.33%
2852,Non Strata,547,689,742,682,s,10.24%,-2.27%,9.09%,-33.33%
2865,Total,-,-,-,-,-,-,-,-,-
2865,Non Strata,-,-,-,-,-,-,-,-,-
2866,Total,-,-,-,-,-,-,-,-,-
2866,Non Strata,-,-,-,-,-,-,-,-,-
2869,Total,-,-,-,-,-,-,-,-,-
2869,Non Strata,-,-,-,-,-,-,-,-,-
2870,Total,351,440,630,515,52,9.90%,14.18%,23.81%,1.96%
2870,Non Strata,351,440,630,515,52,9.90%,14.18%,23.81%,1.96%
2871,Total,327,420,565,449,35,13.51%,0.00%,6.06%,-5.41%
2871,Non Strata,327,420,565,449,35,13.51%,0.00%,6.06%,-5.41%
2873,Total,-,-,-,-,-,-,-,-,-
2873,Non Strata,-,-,-,-,-,-,-,-,-
2877,Total,165,272,305,237,s,35.75%,50.83%,87.50%,-40.00%
2877,Non Strata,165,272,305,237,s,35.75%,50.83%,87.50%,-40.00%
2879,Total,-,-,-,-,-,-,-,-,-
2879,Non Strata,-,-,-,-,-,-,-,-,-
2880,Total,134,185,270,207,107,-7.50%,8.82%,-1.83%,-19.55%
2880,Non Strata,134,185,270,207,107,-7.50%,12.12%,-1.83%,-17.05%
